Date,Open,High,Low,Close,Adj Close,Volume
4/5/2021,47.029999,48.779999,44.709999,47.959999,47.959999,6548500
4/12/2021,47.84,51.869999,46.580002,49.009998,49.009998,6853200
4/19/2021,47.580002,48.439999,43.27,48.119999,48.119999,6395500
4/26/2021,48,49.939999,45.529999,46.060001,46.060001,4050600
5/3/2021,46.779999,46.860001,37.34,42.040001,42.040001,13554100
5/10/2021,41.25,41.639999,35.25,39.990002,39.990002,10366500
5/17/2021,39.16,41.959999,38.57,40.919998,40.919998,5286000
5/24/2021,41.200001,47.900002,40.639999,47.07,47.07,5827700
5/31/2021,47.470001,49.900002,45.299999,46.349998,46.349998,4738200
6/7/2021,46.360001,51.740002,46.360001,50.599998,50.599998,6448600
6/14/2021,50.740002,51.450001,47.139999,47.75,47.75,7144700
6/21/2021,47.889999,58.939999,46.310001,55.98,55.98,15132800
6/28/2021,56.43,61.209999,55.740002,58.450001,58.450001,6871800
7/5/2021,58.939999,60.360001,53.150002,57.830002,57.830002,4718800
7/12/2021,58.700001,64.489998,47.209999,47.700001,47.700001,18611000
7/19/2021,46.09,56.23,45.77,55.73,55.73,6876900
7/26/2021,55.990002,58.799999,48.509998,51.790001,51.790001,12381300
8/2/2021,51.259998,53.849998,44.220001,44.869999,44.869999,13739800
8/9/2021,45.450001,46.619999,42.41,42.57,42.57,8650800
8/16/2021,42.43,42.57,39.450001,41.82,41.82,6157100
8/23/2021,42.32,44.240002,41.619999,44.240002,44.240002,4447600
8/30/2021,44.330002,45.650002,43.389999,44.75,44.75,4664700
9/6/2021,45.040001,47.16,43.419998,45.169998,45.169998,6644200
9/13/2021,45.099998,50.080002,43.82,49.700001,49.700001,6972800
9/20/2021,46.919998,52.299999,46.860001,50.52,50.52,6277200
9/27/2021,50.5,50.5,43.73,48.029999,48.029999,7325800
10/4/2021,47.490002,54.400002,45.099998,54.099998,54.099998,6477100
10/11/2021,53.900002,60.580002,53.77,59.209999,59.209999,9333300
10/18/2021,58.610001,59.73,55.869999,58.700001,58.700001,6960800
10/25/2021,59.75,61.900002,46.82,47.119999,47.119999,12336000
11/1/2021,47.869999,50.82,46.93,49.040001,49.040001,5976500
11/8/2021,49.130001,50.549999,44.57,47.509998,47.509998,7422900
11/15/2021,47.830002,47.830002,40.810001,40.959999,40.959999,7815200
11/22/2021,41.25,41.790001,36.950001,37.610001,37.610001,5812300
11/29/2021,37.810001,38.599998,34.630001,35.450001,35.450001,9995600
12/6/2021,35.119999,38.869999,33.41,34.029999,34.029999,5912600
12/13/2021,34.040001,34.689999,31.309999,34.189999,34.189999,10688900
12/20/2021,33.200001,34.369999,32.959999,33.639999,33.639999,5058600
12/27/2021,33.939999,36.07,33.529999,34.16,34.16,4650300
1/3/2022,34.330002,34.830002,28.34,29.51,29.51,10342300
1/10/2022,29.32,31.1,27.65,28.25,28.25,8449700
1/17/2022,27.629999,28.280001,24.719999,25.17,25.17,9768900
1/24/2022,24.25,26.01,22.91,24.549999,24.549999,10443000
1/31/2022,24.6,28.74,24.5,27.559999,27.559999,8709800
2/7/2022,27.32,29.92,23.809999,25.59,25.59,13068900
2/14/2022,25.49,26.860001,24.16,24.49,24.49,9560500
2/21/2022,24.01,25.190001,21.58,24.540001,24.540001,7221600
2/28/2022,24.559999,25.74,21.34,21.76,21.76,8167900
3/7/2022,21.389999,21.73,18.07,18.790001,18.790001,11681600
3/14/2022,18.690001,22.59,17.85,22.32,22.32,6942800
3/21/2022,22.07,23.52,21.610001,23.07,23.07,5156000
3/28/2022,23.1,25.120001,22.690001,23.65,23.65,3943900
4/4/2022,23.98,25.07,21.280001,21.52,21.52,4085400
4/11/2022,21.139999,22.559999,20.68,20.860001,20.860001,2781900
4/18/2022,20.629999,21.51,18.68,19.440001,19.440001,5053200
4/25/2022,19.299999,22.84,19.110001,20.969999,20.969999,8952300
5/2/2022,20.74,23.639999,19.290001,19.940001,19.940001,8477900
5/9/2022,19.27,19.719999,14.85,18.209999,18.209999,9580100
5/16/2022,18.1,18.639999,15.45,18.33,18.33,9936900
